ID_Entrega,ID_Proveedor,ID_Almacen,ID_Estado,Fecha_Envio,Fecha_Entrega,Tiempo_Entrega,Costo_Entrega,Entregado_Tiempo,Costo_Km,Direccion,Ciudad,Provincia,Pais,Km
1,1,1,1,2024-01-16,2024-02-20,840.0,2575.0,0,5.0,"Calle 30, N° 10",Ciudad D,Y,Argentina,515
2,2,2,2,2024-01-17,2024-01-18,24.0,411.72,1,4.38,"Calle 73, N° 33",Ciudad D,X,Argentina,94
3,3,3,3,2024-01-18,2024-01-19,24.0,1231.97,1,3.53,"Calle 9, N° 44",Ciudad B,Y,Argentina,349
4,1,3,4,2024-01-04,2024-02-19,1104.0,1167.57,1,4.66,"Calle 14, N° 89",Ciudad A,Z,Argentina,300
5,5,1,4,2024-01-13,2024-02-06,576.0,4029.53,1,2.53,"Calle 27, N° 56",Ciudad A,X,Argentina,800
6,5,1,2,2024-02-04,2024-03-27,1248.0,2573.42,1,3.39,"Calle 69, N° 81",Ciudad D,Z,Argentina,800
7,4,1,2,2024-03-12,2024-04-23,1008.0,4817.62,1,2.74,"Calle 56, N° 13",Ciudad A,Y,Argentina,500
8,4,3,3,2024-02-24,2024-03-03,192.0,3497.54,1,1.32,"Calle 66, N° 91",Ciudad C,Y,Argentina,200
9,3,3,1,2024-02-10,2024-04-04,1296.0,3465.19,1,1.0,"Calle 90, N° 100",Ciudad C,Z,Argentina,700
10,5,3,2,2024-01-01,2024-02-02,768.0,3103.9,1,4.93,"Calle 24, N° 80",Ciudad C,Y,Argentina,350
11,2,3,2,2024-03-24,2024-04-15,528.0,3618.31,1,4.6,"Calle 22, N° 12",Ciudad C,X,Argentina,800
12,5,2,2,2024-03-04,2024-04-24,1224.0,3425.66,1,1.51,"Calle 63, N° 31",Ciudad B,Y,Argentina,900
13,4,1,1,2024-03-11,2024-04-30,1200.0,542.28,1,2.28,"Calle 53, N° 4",Ciudad A,Y,Argentina,90
14,3,1,2,2024-03-23,2024-04-18,624.0,1415.66,1,3.94,"Calle 3, N° 37",Ciudad B,Z,Argentina,200
15,1,1,2,2024-01-04,2024-02-09,864.0,1713.02,1,3.01,"Calle 30, N° 40",Ciudad A,Y,Argentina,800
16,1,2,3,2024-02-09,2024-03-03,552.0,1031.51,0,2.91,"Calle 96, N° 88",Ciudad C,X,Argentina,900
17,1,2,3,2024-01-15,2024-02-04,480.0,2092.33,1,1.13,"Calle 98, N° 11",Ciudad A,X,Argentina,200
18,1,1,3,2024-03-18,2024-04-17,720.0,4535.46,1,3.17,"Calle 52, N° 50",Ciudad D,Z,Argentina,800
19,3,2,4,2024-03-03,2024-03-07,96.0,1981.09,1,3.84,"Calle 9, N° 86",Ciudad B,Y,Argentina,900
20,4,3,3,2024-02-19,2024-04-11,1248.0,4566.16,1,4.48,"Calle 7, N° 5",Ciudad B,Z,Argentina,500
21,2,1,2,2024-03-12,2024-04-29,1152.0,3749.67,1,3.77,"Calle 86, N° 6",Ciudad D,X,Argentina,350
22,3,1,2,2024-03-03,2024-04-28,1344.0,4190.09,0,2.77,"Calle 72, N° 7",Ciudad A,Z,Argentina,200
23,5,2,1,2024-01-06,2024-02-29,1296.0,896.04,0,1.88,"Calle 9, N° 94",Ciudad D,Z,Argentina,90
24,2,2,4,2024-01-08,2024-01-13,120.0,540.43,1,1.92,"Calle 54, N° 24",Ciudad B,Y,Argentina,800
25,4,1,3,2024-01-15,2024-03-03,1152.0,2928.01,1,1.18,"Calle 42, N° 63",Ciudad B,X,Argentina,300
26,2,1,4,2024-02-27,2024-04-10,1032.0,1052.93,1,4.18,"Calle 3, N° 73",Ciudad A,Y,Argentina,200
27,3,2,4,2024-01-16,2024-01-31,360.0,568.21,1,3.15,"Calle 26, N° 13",Ciudad B,Y,Argentina,900
28,1,3,2,2024-01-17,2024-01-30,312.0,2095.05,0,4.3,"Calle 73, N° 59",Ciudad D,X,Argentina,200
29,3,2,3,2024-01-03,2024-02-08,864.0,3618.77,1,3.75,"Calle 40, N° 33",Ciudad A,Z,Argentina,350
30,3,3,1,2024-02-26,2024-04-23,1368.0,1645.19,1,4.43,"Calle 95, N° 21",Ciudad B,Z,Argentina,600
31,2,2,2,2024-02-07,2024-03-27,1176.0,4396.38,1,1.3,"Calle 78, N° 64",Ciudad C,X,Argentina,90
32,4,1,4,2024-03-27,2024-05-17,1224.0,4614.3,1,3.43,"Calle 15, N° 4",Ciudad C,Z,Argentina,800
33,3,1,2,2024-03-28,2024-04-17,480.0,644.32,0,4.38,"Calle 78, N° 95",Ciudad B,Z,Argentina,500
34,2,3,1,2024-02-15,2024-02-17,48.0,133.9,1,1.79,"Calle 44, N° 36",Ciudad C,Z,Argentina,200
35,2,1,1,2024-01-20,2024-03-17,1368.0,3276.42,1,3.01,"Calle 90, N° 20",Ciudad B,X,Argentina,200
36,3,3,4,2024-02-11,2024-03-05,552.0,4677.74,1,1.87,"Calle 14, N° 85",Ciudad C,Z,Argentina,900
37,1,3,3,2024-01-14,2024-01-31,408.0,1024.31,1,2.09,"Calle 29, N° 4",Ciudad D,Z,Argentina,200
38,4,2,2,2024-03-09,2024-04-15,888.0,1770.87,1,3.04,"Calle 90, N° 15",Ciudad D,Y,Argentina,600
39,1,1,1,2024-02-22,2024-03-20,648.0,2230.89,1,3.68,"Calle 30, N° 49",Ciudad B,Z,Argentina,800
40,2,1,2,2024-02-24,2024-04-10,1104.0,4065.65,1,4.84,"Calle 13, N° 10",Ciudad B,X,Argentina,300
41,3,2,1,2024-03-08,2024-05-02,1320.0,1922.56,1,1.07,"Calle 92, N° 85",Ciudad A,Y,Argentina,900
42,4,1,1,2024-01-10,2024-01-12,48.0,3867.62,1,2.22,"Calle 65, N° 42",Ciudad D,X,Argentina,900
43,1,2,1,2024-01-10,2024-03-08,1392.0,4732.24,1,4.59,"Calle 83, N° 99",Ciudad D,Y,Argentina,600
44,2,1,4,2024-01-11,2024-03-02,1224.0,3451.64,1,1.66,"Calle 49, N° 57",Ciudad A,Z,Argentina,700
45,2,3,1,2024-03-04,2024-03-31,648.0,685.65,1,3.37,"Calle 90, N° 77",Ciudad B,Z,Argentina,600
46,2,1,4,2024-02-16,2024-04-11,1320.0,3159.81,1,1.76,"Calle 28, N° 23",Ciudad A,Z,Argentina,800
47,2,3,2,2024-02-28,2024-04-12,1056.0,847.8,1,2.4,"Calle 79, N° 66",Ciudad A,X,Argentina,200
48,2,3,4,2024-01-21,2024-03-13,1248.0,3328.72,1,1.29,"Calle 40, N° 93",Ciudad C,X,Argentina,800
49,3,3,3,2024-02-17,2024-03-28,960.0,3192.85,1,1.14,"Calle 12, N° 11",Ciudad D,X,Argentina,500
50,3,2,4,2024-01-16,2024-02-09,576.0,1598.38,1,3.06,"Calle 97, N° 54",Ciudad A,Z,Argentina,600
51,2,3,2,2024-02-06,2024-02-08,48.0,3068.72,1,4.26,"Calle 29, N° 83",Ciudad A,X,Argentina,90
52,4,1,2,2024-02-26,2024-04-22,1344.0,2951.5,1,1.71,"Calle 64, N° 7",Ciudad D,X,Argentina,600
53,1,3,2,2024-01-27,2024-03-27,1440.0,268.9,1,1.54,"Calle 59, N° 23",Ciudad D,X,Argentina,800
54,4,3,3,2024-03-28,2024-04-29,768.0,363.81,1,2.63,"Calle 43, N° 26",Ciudad D,X,Argentina,500
55,2,1,3,2024-03-21,2024-03-29,192.0,1352.55,1,4.93,"Calle 44, N° 44",Ciudad B,X,Argentina,700
56,5,3,3,2024-01-01,2024-01-02,24.0,1791.14,1,3.98,"Calle 7, N° 57",Ciudad A,Y,Argentina,500
57,3,1,4,2024-03-13,2024-03-31,432.0,1403.86,1,3.56,"Calle 5, N° 8",Ciudad D,X,Argentina,200
58,1,3,1,2024-02-02,2024-02-16,336.0,303.78,1,1.51,"Calle 7, N° 27",Ciudad D,X,Argentina,500
59,2,1,2,2024-02-25,2024-04-05,960.0,1970.39,1,2.47,"Calle 81, N° 57",Ciudad D,Y,Argentina,300
60,3,1,3,2024-01-28,2024-02-10,312.0,3441.4,1,1.6,"Calle 7, N° 48",Ciudad B,Y,Argentina,700
61,1,2,3,2024-02-27,2024-02-28,24.0,4476.41,0,4.06,"Calle 83, N° 3",Ciudad B,Z,Argentina,500
62,4,3,2,2024-02-01,2024-03-03,744.0,390.64,0,4.14,"Calle 7, N° 22",Ciudad B,Z,Argentina,700
63,5,3,3,2024-03-04,2024-04-23,1200.0,4443.38,0,4.95,"Calle 33, N° 85",Ciudad C,X,Argentina,800
64,5,3,2,2024-01-06,2024-01-22,384.0,3008.67,0,2.56,"Calle 19, N° 47",Ciudad D,X,Argentina,500
65,3,2,3,2024-01-25,2024-02-25,744.0,2211.83,1,2.12,"Calle 71, N° 32",Ciudad B,Y,Argentina,800
66,5,1,4,2024-02-24,2024-04-19,1320.0,2961.92,0,4.78,"Calle 87, N° 100",Ciudad B,Z,Argentina,700
67,2,2,4,2024-03-12,2024-04-18,888.0,1207.94,0,1.16,"Calle 58, N° 46",Ciudad B,Z,Argentina,150
68,1,1,1,2024-01-24,2024-03-23,1416.0,3922.56,1,2.51,"Calle 95, N° 8",Ciudad D,Z,Argentina,600
69,1,2,4,2024-03-06,2024-03-16,240.0,2116.51,1,4.72,"Calle 21, N° 81",Ciudad A,Z,Argentina,90
70,5,2,2,2024-01-08,2024-01-15,168.0,660.7,1,2.9,"Calle 37, N° 10",Ciudad B,Y,Argentina,90
71,2,1,1,2024-02-19,2024-03-15,600.0,3831.73,1,4.73,"Calle 22, N° 70",Ciudad B,X,Argentina,600
72,3,1,3,2024-03-15,2024-04-04,480.0,4825.03,1,1.51,"Calle 37, N° 28",Ciudad B,X,Argentina,350
73,4,3,4,2024-01-21,2024-03-04,1032.0,4428.83,1,2.35,"Calle 47, N° 14",Ciudad D,Y,Argentina,700
74,3,2,4,2024-03-23,2024-03-30,168.0,2980.75,1,1.09,"Calle 64, N° 70",Ciudad A,Z,Argentina,300
75,4,1,4,2024-02-17,2024-03-08,480.0,1738.93,1,1.52,"Calle 70, N° 59",Ciudad A,Y,Argentina,200
76,2,2,2,2024-01-28,2024-02-04,168.0,4005.68,1,2.23,"Calle 100, N° 58",Ciudad C,Y,Argentina,900
77,5,1,1,2024-02-23,2024-03-24,720.0,4719.47,1,4.31,"Calle 34, N° 64",Ciudad B,Y,Argentina,500
78,2,3,4,2024-02-05,2024-02-12,168.0,2050.14,1,4.03,"Calle 75, N° 63",Ciudad A,Y,Argentina,150
79,5,1,3,2024-03-02,2024-03-06,96.0,4219.14,1,1.3,"Calle 56, N° 32",Ciudad D,Y,Argentina,800
